fec_id,state,district,incumbent,candidate_name,party,primary_votes,runoff_votes,general_votes,ge_winner
H0TN08287,TN,09,FALSE,"Flinn, George S., Jr.",R,11748,0,59742,N
H0TN08329,TN,08,FALSE,"Rawles, Mark J.",I,0,0,2870,N
H0TN09061,TN,09,FALSE,"Bergmann, Charlotte",R,4398,0,0,N
H0TX04037,TX,04,TRUE,"Hall, Ralph M.",R,38202,0,182679,W
H0TX04136,TX,04,FALSE,"Gigliotti, Lou",R,13532,0,0,N
H0TX05091,TX,05,FALSE,"Berry, Tom",D,2219,1190,0,N
H0TX07055,TX,07,TRUE,"Culberson, John",R,37590,0,142793,W
H0TX07147,TX,07,FALSE,"Squiers, Lissa",D,2848,1545,0,N
H0TX09143,TX,09,FALSE,"Mueller, Steve",R,7255,0,36139,N
H0TX11115,TX,11,FALSE,"Younts, Chris",R,12917,0,0,N
H0TX12212,TX,12,FALSE,"Solodow, Matthew",L,0,0,5983,N
H0TX14119,TX,14,FALSE,"Gay, John",R,2075,0,0,N
H0TX17104,TX,17,TRUE,"Flores, Bill",R,41449,0,143284,W
H0TX18235,TX,36,FALSE,"Meyer, Charles B. ""Chuck""",R,2156,0,0,N
H0TX20090,TX,14,FALSE,"Smith, Rhett Rosenquest",G,0,0,1063,N
H0TX21072,TX,31,FALSE,"Wyman, Stephen M.",D,5864,0,82977,N
H0TX22112,TX,22,FALSE,"Rogers, Kesha",D,3666,0,80203,N
H0TX22138,TX,22,FALSE,"Susman, Steven",L,0,0,5986,N
H0TX26105,TX,26,FALSE,"Boler, Mark",L,0,0,7844,N
H0TX27053,TX,34,FALSE,"Bradshaw, Jessica Puente",R,4409,5309,52448,N
H0TX27061,TX,27,TRUE,"Farenthold, Blake",R,28058,0,120684,W
H0UT02096,UT,04,TRUE,"Matheson, Jim",D,0,0,119803,W
H0VA01185,VA,01,FALSE,"Parker, G. Gail",I,0,0,8308,N
H0VA02084,VA,02,TRUE,"Rigell, E. Scott",R,0,0,166231,W
H0VA05095,VA,05,TRUE,"Hurt, Robert",R,0,0,193009,W
H0VA07042,VA,07,TRUE,"Cantor, Eric I.",R,37369,0,222983,W
H0VA07075,VA,07,FALSE,"Bayne, Floyd C.",R,9668,0,0,N
H0VA08040,VA,08,TRUE,"Moran, James P. ""Jim,"" Jr.",D,23018,0,226847,W
H0VA08149,VA,08,FALSE,"Murray, J. Patrick",R,0,0,107370,N
H0VA09055,VA,09,TRUE,"Griffith, H. Morgan",R,0,0,184882,W
H0VA11101,VA,11,FALSE,"DeCarlo, Christopher F.",I,0,0,3027,N
H0VI00037,VI,00,FALSE,"Danet, Vincent E.",R,59,0,0,N
